hospital_id,hospital_name,hospital_npi,city,state,affiliation,disclosure,designation
1,ARISE AUSTIN MEDICAL CENTER,1295173664,AUSTIN,TX,Independent,,"Diagnostic X-ray, Emergency Department Waiver, Emergency Treatment, For Profit, General Hospital, Joint Commission, Lab Services, Physician Owned, Surgery"
2,ASCENSION SETON BASTROP,1942795133,BASTROP,TX,Ascencion Health,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-bastrop_standardcharges.xlsx,"Diagnostic X-ray, Emergency Department, Lab Services, Medical, Non Profit, Special Hospital"
3,ASCENSION SETON HIGHLAND LAKES,1952328924,BURNET,TX,Ascencion Health,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-highland-lakes_standardcharges.xlsx,"Critical Access Hospital, Diagnostic X-ray, Emergency Department, General Hospital, Lab Services, Non Profit, Surgery"
4,ASCENSION SETON MEDICAL CENTER AUSTIN,1164526786,AUSTIN,TX,Ascencion Health,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-medical-center-austin_standardcharges.xlsx,"Diagnostic X-ray, Emergency Department, ESRD-Acute Services, General Hospital, Lab Services, Non Profit, Obstetrics, Surgery"
5,ASCENSION SETON NORTHWEST,1124137054,AUSTIN,TX,Ascencion Health,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-northwest_standardcharges.xlsx,"Diagnostic X-ray, Emergency Department, General Hospital, Joint Commission, Lab Services, Non Profit, Obstetrics, Surgery"
6,ASCENSION SETON SOUTHWEST,1750499273,AUSTIN,TX,Ascencion Health,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-southwest_standardcharges.xlsx,"Diagnostic X-ray, Emergency Department, General Hospital, Lab Services, Non Profit, Surgery"
7,ASCENSION SETON WILLIAMSON,1578780870,ROUND ROCK,TX,Ascencion Health,https://healthcare.ascension.org/-/media/project/ascension/healthcare/price-transparency-files/tx/741109643_ascension-seton-williamson_standardcharges.xlsx,"Diagnostic X-ray, Emergency Department, ESRD-Acute Services, General Hospital, Joint Commission, Lab Services, Non Profit, Obstetrics, Surgery"
8,BAPTIST EMERGENCY HOSPITAL (THOUSAND OAKS),1225381197,SAN ANTONIO,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Special Hospital"
9,BAPTIST EMERGENCY HOSPITAL (SHAVANO PARK),1114473329,SAN ANTONIO,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Multi-Location, Special Hospital"
10,BAPTIST EMERGENCY HOSPITAL (OVERLOOK),1205189172,SAN ANTONIO,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Multi-Location, Special Hospital"
11,BAPTIST EMERGENCY HOSPITAL (WESTOVER HILLS),1477805406,SAN ANTONIO,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Multi-Location, Special Hospital"
12,BAPTIST EMERGENCY HOSPITAL (ZARZAMORA),1205382413,SAN ANTONIO,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Multi-Location, Special Hospital"
13,BAPTIST EMERGENCY HOSPITAL (KELLY),1841844735,SAN ANTONIO,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Det Norske Veritas Healthcare, Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Multi-Location, Special Hospital"
14,BAPTIST EMERGENCY HOSPITAL (SCHERTZ),1639422504,SCHERTZ,TX,Tenet Health,https://www.baptistemergencyhospital.com/beh-assets/uploads/forms/Baptist_20210203.json,"Diagnostic X-ray, Emergency Department, For Profit, Lab Services, Medical, Multi-Location, Special Hospital"
15,BAPTIST MEDICAL CENTER,1598744856,SAN ANTONIO,TX,Tenet Health,https://www.baptisthealthsystem.com/docs/global/standard-charges/760714523_baptistmedicalcenter_standardcharges.json?sfvrsn=2ac35bba_6&download=true,"Comprehensive Rehab Services, Diagnostic X-ray, Emergency Department, ESRD-Acute Services, For Profit, General Hospital, Lab Services, Mental Health Services, Obstetrics, Pediatric - 15+ beds, Surgery"
16,BAYLOR SCOTT & WHITE EMERGENCY MEDICAL CENTER - CEDAR PARK,1144566316,CEDAR PARK,TX,Baylor Scott & White Health,https://www.bsweh.org/bsw-assets/uploads/forms/262978009_364755936_BSWEMERGENCYHOSPITALS_STANDARDCHARGES.csvhttps://www.bsweh.org/bsw-assets/uploads/forms/262978009_364755936_BSWEMERGENCYHOSPITALS_STANDARDCHARGES.csv,"Diagnostic X-ray, Emergency Department, Joint Commission, Lab Services, Medical, Multi-Location, Non Profit, Special Hospital"
17,BAYLOR SCOTT & WHITE MEDICAL CENTER - AUSTIN,1902366305,AUSTIN,TX,Baylor Scott & White Health,https://www.bswhealth.com/SiteCollectionDocuments/patient-tools/estimate-cost-of-care/81-3040663_BAYLOR%20SCOTT%20&%20WHITE%20%20MEDICAL%20CENTER%20AT%20AUSTIN%20OAK%20HILL_standardcharges.csv,"Diagnostic X-ray, Emergency Department, General Hospital, Lab Services, Non Profit, Surgery"
18,BAYLOR SCOTT & WHITE MEDICAL CENTER - ROUND ROCK,1265568638,ROUND ROCK,TX,Baylor Scott & White Health,https://www.bswhealth.com/SiteCollectionDocuments/patient-tools/estimate-cost-of-care/20-3749695_BAYLOR%20SCOTT%20&%20WHITE%20%20MEDICAL%20CENTER%20AT%20ROUND%20ROCK_standardcharges.csv,"Emergency Department, ESRD-Acute Services, General Hospital, Lab Services, Non Profit, Obstetrics, Surgery"
19,BAYLOR SCOTT & WHITE MEDICAL CENTER - TAYLOR,1659366557,TAYLOR,TX,Baylor Scott & White Health,https://www.bswhealth.com/SiteCollectionDocuments/patient-tools/estimate-cost-of-care/74-1595711_BAYLOR%20SCOTT%20&%20WHITE%20%20MEDICAL%20CENTER%20AT%20TAYLOR_standardcharges.csv,"Critical Access Hospital, Diagnostic X-ray, Emergency Department, General Hospital, Joint Commission, Lab Services, Non Profit, Surgery"
20,BRUSHY CREEK FAMILY HOSPITAL LLC,1588215461,ROUND ROCK,TX,Independent,,"Diagnostic X-ray, Emergency Department, For Profit, General Hospital, Lab Services, Other Services, Physician Owned, Surgery"
21,CEDAR PARK REGIONAL MEDICAL CENTER,1376662296,CEDAR PARK,TX,Community Health Systems,https://www.cedarparkregional.com/Uploads/Public/Documents/charge-masters/203904667_Cedar%20Park_standardcharges.csv,"Diagnostic X-ray, Emergency Department, For Profit, General Hospital, Joint Commission, Lab Services, Obstetrics, Surgery"
22,CENTRAL TEXAS REHABILITATION HOSPITAL,1609091693,AUSTIN,TX,Kindred Healthcare,https://www.centraltexasrehabhospital.com/docs/librariesprovider17/default-document-library/irf-pricing-transparency---central-texas---upload.xlsx,"Comprehensive Rehab Services, Diagnostic X-ray, Emergency Treatment, ESRD-Acute Services, For Profit, Joint Commission, Lab Services, Special Hospital"
23,CHILDRENS HOSPITAL OF SAN ANTONIO,1821004151,SAN ANTONIO,TX,Christus Health,https://www.christushealth.org/-/media/patient-resources/pricing-transparency/pricing-transparency-2020/741109665_santarosachildrenshospital_standardcharges.ashx,"Diagnostic X-ray, Emergency Department, ESRD-Acute Services, General Hospital, Joint Commission, Lab Services, Non Profit, Obstetrics, Pediatric - 15+ beds, Surgery"
24,CHRISTUS SANTA ROSA HOSPITAL - ALAMO HEIGHTS,1598103434,SAN ANTONIO,TX,Christus Health,https://www.christushealth.org/-/media/patient-resources/pricing-transparency/pricing-transparency-2020/741109665_santarosahospitalalamoheights_standardcharges.ashx,"Diagnostic X-ray, Emergency Department, General Hospital, Lab Services, Multi-Location, Non Profit, Surgery"
25,CHRISTUS SANTA ROSA HOSPITAL - MEDICAL CENTER,1073558912,SAN ANTONIO,TX,Christus Health,https://www.christushealth.org/-/media/patient-resources/pricing-transparency/pricing-transparency-2020/741109665_santarosahospitalmedicalcenter_standardcharges.ashx,"Diagnostic X-ray, Emergency Department, ESRD-Acute Services, General Hospital, Lab Services, Non Profit, Surgery"
